id,audio_path,language,audio_type,category,source,source_id,source_url,question,option_A,option_B,option_C,option_D,answer,answer_text,duration_seconds,tts_model,sha256
Q015,audio/main_language/human/Q015.wav,zh,human,fact_knowledge,ODSQA,6077-1-1,https://github.com/Chia-Hsuan-Lee/ODSQA,秦嶺的主體位於中國的哪一個省份?,甘肅省,河南省,陝西省,四川省,C,陝西省,3.165,,57cae023a1a7dd6ffc69709258beb55b8ef6b9f340ed7538ff890983650f675b
Q016,audio/main_language/human/Q016.wav,zh,human,fact_knowledge,ODSQA,6077-1-2,https://github.com/Chia-Hsuan-Lee/ODSQA,中國地理上的南北分界線同時也是兩個流域的分水嶺，一個是黃河流域，另一個是?,珠江流域,海河流域,松花江流域,長江流域,D,長江流域,6.945,,d59d230a80f627b763277357d02ca6b505b85a20808045d83f74a4a5b4701814
Q017,audio/main_language/human/Q017.wav,zh,human,fact_knowledge,ODSQA,1180-44-3,https://github.com/Chia-Hsuan-Lee/ODSQA,氫融合的反應速率會因什麼的改變而有很大的變化？,核心的溫度,表面的顏色,與地球的距離,觀測的時間,A,核心的溫度,5.130,,492783b836a38ac5a432190f9664fe1b2e1152fceb48023000da9222272f0768
Q018,audio/main_language/human/Q018.wav,zh,human,fact_knowledge,ODSQA,6129-1-1,https://github.com/Chia-Hsuan-Lee/ODSQA,7-Eleven商店命名的由來是?,創辦人姓名,延長營業,第一家店的地址,商品種類,B,延長營業,3.045,,c929376a07cd7168d15c84ca9774bd4185fde65e90e34be39890ac86283516eb
Q019,audio/main_language/human/Q019.wav,zh,human,fact_knowledge,ODSQA,6175-3-2,https://github.com/Chia-Hsuan-Lee/ODSQA,海鳥上岸的目的可能是?,冬眠,換羽後飛行,繁殖,尋找淡水,C,繁殖,2.535,,2829db1ba0ea5e34b3bf501ee3714f4638666e9987ac180e12151739a4bdaeed
Q020,audio/main_language/human/Q020.wav,zh,human,fact_knowledge,ODSQA,6238-2-1,https://github.com/Chia-Hsuan-Lee/ODSQA,嬰兒透過哪一種行為表達情緒?,寫字,點頭,說話,哭泣,D,哭泣,4.485,,5f9ce81bb55db83758fbdd61bf1dc77b04ceba557e598234bf7e978939420f99
Q021,audio/main_language/human/Q021.wav,zh,human,fact_knowledge,ODSQA,6334-1-1,https://github.com/Chia-Hsuan-Lee/ODSQA,權力分立主要目的是要讓不同的分立機關產生什麼作用?,互相制衡作用,權力集中,取消法律,統一選舉,A,互相制衡作用,8.400,,e71ad0f435c662b28b0328c8ccb1f183430198a6ff537e688e2572819c79d028
Q022,audio/main_language/human/Q022.wav,zh,human,fact_knowledge,ODSQA,6334-1-2,https://github.com/Chia-Hsuan-Lee/ODSQA,三權分立止的三權是司法、行政，還有哪一權?,軍事,立法,財政,外交,B,立法,7.095,,e3f1bf8c7288d89118c3aad9e632244588989ea87525f2ec318216ff4be68f15
Q023,audio/main_language/human/Q023.wav,zh,human,fact_knowledge,ODSQA,6334-1-4,https://github.com/Chia-Hsuan-Lee/ODSQA,《政府論》的作者是誰?,孟德斯鳩,盧梭,約翰洛克,霍布斯,C,約翰洛克,4.725,,e039d413b6e23b2417943669460139f29ebf95d743a04549e57c398d0295c078
Q024,audio/main_language/human/Q024.wav,zh,human,fact_knowledge,ODSQA,1155-8-1,https://github.com/Chia-Hsuan-Lee/ODSQA,摩加迪休是哪一國家的主要海港？,肯亞,衣索比亞,蘇丹,索馬利亞,D,索馬利亞,3.240,,4b395a5ed57b68f2aeaf6d451cb2abdc43d52c9ab0201d72d6e8364d234036e8
Q025,audio/main_language/human/Q025.wav,zh,human,fact_knowledge,ODSQA,1190-16-3,https://github.com/Chia-Hsuan-Lee/ODSQA,柏林圍牆在哪一年時倒塌？,1989,1979,1995,2001,A,1989,3.675,,a1ba5871fefc2413af3b09e02bb0e0f10c8feb76510bd3d7a6a0065010e3481f
Q026,audio/main_language/human/Q026.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:11,https://huggingface.co/datasets/hlt-lab/voicebench,What percentage of the Earth's atmosphere is oxygen?,10.95%,20.95%,35.95%,78.08%,B,20.95%,6.144,,03a9a0d7641a6f50df1d06dfacb16d983fc1b5ee610d141443491a3de2b3b5b7
Q027,audio/main_language/human/Q027.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:15,https://huggingface.co/datasets/hlt-lab/voicebench,How many permanent members of the United Nations Security Council are there?,three,seven,five,ten,C,five,8.298,,f1050befe00c8a4f0ac343eb5efaa7e2ef8b0ca9fb4ee7488c045d9904e69635
Q028,audio/main_language/human/Q028.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:16,https://huggingface.co/datasets/hlt-lab/voicebench,When was special relativity developed?,1805,1955,2005,1905,D,1905,5.717,,0d0bf142fff4550ee153f204b045a21a2e5dbfe2c1c55b2a37fa69935c31c16d
Q029,audio/main_language/human/Q029.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:22,https://huggingface.co/datasets/hlt-lab/voicebench,When was the first web page released?,1991,1981,2001,2011,A,1991,4.126,,ba3074754ce534503dad6878d701cfc1760736f51a0edc9d061dbd6bda5c78f9
Q030,audio/main_language/human/Q030.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:25,https://huggingface.co/datasets/hlt-lab/voicebench,What is within a nucleus of a cell?,blood cells,genetic material,oxygen bubbles,bone tissue,B,genetic material,3.661,,ac97fbc3543f0e8d00a4c763365934a1e45bf37d037f978bc68a3fca996f3e57
Q031,audio/main_language/human/Q031.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:38,https://huggingface.co/datasets/hlt-lab/voicebench,Who invented air conditioning?,Thomas Edison,Nikola Tesla,Willis Carrier,Alexander Graham Bell,C,Willis Carrier,3.541,,13506dceadd55d21d60e00981b3cd406aa76a62e72e1c8b90553a0f0501360af
Q032,audio/main_language/human/Q032.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:42,https://huggingface.co/datasets/hlt-lab/voicebench,Where are Porsches manufactured?,Italy,France,Japan,Germany,D,Germany,5.205,,6c4fb07f61c506d5faeaf37f023f6bddb140e8c42a955443d736ce846152a85f
Q033,audio/main_language/human/Q033.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:44,https://huggingface.co/datasets/hlt-lab/voicebench,Who led the writing of the Universal Declaration of Human Rights?,Eleanor Roosevelt,Margaret Thatcher,Marie Curie,Rosa Parks,A,Eleanor Roosevelt,7.168,,941682f514642ddb6295261140cee781de95c1cf204dbb8c65109e28b8804b67
Q034,audio/main_language/human/Q034.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:64,https://huggingface.co/datasets/hlt-lab/voicebench,What country has the most tornados?,Canada,United States,Australia,Japan,B,United States,4.778,,07685f0a0ac8ef0e95323505ba6ff1c6e825b0984f0641feb26556c3d122dbc0
Q035,audio/main_language/human/Q035.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:67,https://huggingface.co/datasets/hlt-lab/voicebench,What year was the Universal Declaration of Human Rights published?,1918,1968,1948,1988,C,1948,6.890,,d5b8f636303a6d8ca9f3b586def1493b2a8e08bede8c7bf662af6f9c3d18d71d
Q036,audio/main_language/human/Q036.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:69,https://huggingface.co/datasets/hlt-lab/voicebench,When was the World Wide Web invented?,1979,1999,2009,1989,D,1989,4.906,,0f3ed9cf0c3941f76359241b917c221a81337a8f3fd0b15c7e2cb99f57cc5d4b
Q037,audio/main_language/human/Q037.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:70,https://huggingface.co/datasets/hlt-lab/voicebench,Who launched the first satellite?,Soviet Union,United States,China,United Kingdom,A,Soviet Union,4.416,,349c88eb46060fe821d3b7273ef018b4b952c007c7e234224635ef4ef11cd473
Q038,audio/main_language/human/Q038.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:73,https://huggingface.co/datasets/hlt-lab/voicebench,What language do they speak in Buenos Aires?,Portuguese,Spanish,French,English,B,Spanish,5.482,,965ee20e7cbe0b9090d1ac2b701d00d256e926362832eb6fd386c8e858780747
Q039,audio/main_language/human/Q039.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:82,https://huggingface.co/datasets/hlt-lab/voicebench,What currency is used in Romania?,euro,zloty,Romanian leu,forint,C,Romanian leu,4.586,,62fff2b3121f6a41ca97a30be9a209f44aa1992ad58d4372208946fe442ef621
Q040,audio/main_language/human/Q040.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:95,https://huggingface.co/datasets/hlt-lab/voicebench,Where is the Meyer lemon from?,Mexico,Italy,South Africa,China,D,China,4.757,,25e036c256a79b20da171fbd6adb73db8e12876ba5b5c2ede1045fb1f14c6b2a
Q041,audio/main_language/human/Q041.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:103,https://huggingface.co/datasets/hlt-lab/voicebench,What does VHF stand for in VHF-band radar?,very high frequency,variable heat flow,vertical high force,very heavy field,A,very high frequency,8.054,,6ae4f82302eb92d57e77a304edc284f41c593fbd47a7554f9c8b02c42b2203ab
Q042,audio/main_language/human/Q042.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:115,https://huggingface.co/datasets/hlt-lab/voicebench,When was the Roman Republic formed?,100 BC,509 BC,27 BC,476 AD,B,509 BC,5.084,,133de6f47ab97867515b6c5152bb6659b7130a6e4611685a193191a644726bd9
Q043,audio/main_language/human/Q043.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:129,https://huggingface.co/datasets/hlt-lab/voicebench,What bird lays the smallest egg?,ostrich,emperor penguin,bee hummingbird,bald eagle,C,bee hummingbird,3.493,,6732dc5a88f9cde7851de3417718e917c28ca4e04be22f36effd08147147ef31
Q044,audio/main_language/human/Q044.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:132,https://huggingface.co/datasets/hlt-lab/voicebench,What company first sold the microwave oven?,Sony,Philips,General Electric,Raytheon,D,Raytheon,4.132,,02ac31d21533b8ce0c97b906c4bfaabad9f97bd774b2b1851c4233374c5ec8a7
Q045,audio/main_language/human/Q045.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:145,https://huggingface.co/datasets/hlt-lab/voicebench,What is the official language of the Ivory Coast?,French,English,Arabic,Portuguese,A,French,3.442,,d67362f2c6fe9dcfc848469fd520823d7a0858bb3776857a09acaa5a22adee66
Q046,audio/main_language/human/Q046.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:159,https://huggingface.co/datasets/hlt-lab/voicebench,What's the meaning of NBC?,National Baseball Council,National Broadcasting Company,Northern Business Corporation,New Broadcast Channel,B,National Broadcasting Company,2.901,,a72cd6e614b5e5ee6190d0d9dd1e94de4381aa27d44cee5cf331d5a100960d08
Q047,audio/main_language/human/Q047.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:167,https://huggingface.co/datasets/hlt-lab/voicebench,When did Disney introduce Mickey Mouse?,1908,1948,1928,1968,C,1928,3.166,,428e6af3d87b37b70d6c9821dabb8c0144d17abf98940869113deafb2f22eaea
Q048,audio/main_language/human/Q048.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:172,https://huggingface.co/datasets/hlt-lab/voicebench,What is the capital of Angola?,Lusaka,Nairobi,Accra,Luanda,D,Luanda,3.832,,21f2ca67aec851a6373771c95f1764eb870174afe80a275128765d0bf4569f64
Q049,audio/main_language/human/Q049.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:178,https://huggingface.co/datasets/hlt-lab/voicebench,What is the highest pitch audible to humans?,"20,000Hz",200Hz,"2,000Hz","200,000Hz",A,"20,000Hz",3.541,,23eeaa35efd6180d17325e79f16f5611847688da8a05555dc6a0547df31f724a
Q050,audio/main_language/human/Q050.wav,en,human,fact_knowledge,SD-QA via VoiceBench,usa:193,https://huggingface.co/datasets/hlt-lab/voicebench,How many seasons does Breaking Bad have?,three,five,four,six,B,five,2.811,,b0e912c93f7c3ec58cfabb130597e218043c419f20f3d0b2751de51af6433eae
T001,audio/main_language/tts/T001.wav,en,TTS,math,SVAMP,chal-1,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,A DVD pack costs 76 dollars. A discount takes 25 dollars off. What is the new price?,51,52,50,53,A,51,7.7124,sambert-beth-v1,573661f437a7699e60ea039145f7955c920a103fff79062b7759f03b1c40bbf3
T002,audio/main_language/tts/T002.wav,en,TTS,math,SVAMP,chal-4,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,"There were 43 children on a bus. After some got off, 21 remained. How many got off?",23,21,24,22,D,22,6.2749,sambert-brian-v1,2d39c46f5cc156428531903ed5898c90e0eb0d613c351ffe987cada43465d1c9
T003,audio/main_language/tts/T003.wav,en,TTS,math,SVAMP,chal-12,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,"There are 11 sets of tables, with 13 chairs at each set. How many chairs are there?",142,145,143,144,C,143,5.4499,sambert-beth-v1,4543fbba131e705b3f84471fe6836ed3c140c5d44d26d9ff77a124000b076e79
T004,audio/main_language/tts/T004.wav,en,TTS,math,SVAMP,chal-22,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,A machine makes 4 shirts per minute. How many shirts does it make in 5 minutes?,20,21,19,22,A,20,4.5874,sambert-brian-v1,3d73a44cb4f86de892ea58bf2c3c18e1da46151417f332f7f28bb1640fe66206
T005,audio/main_language/tts/T005.wav,en,TTS,math,SVAMP,chal-23,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,"There are 180 bananas, with 18 bananas in each group. How many groups are there?",11,9,12,10,D,10,5.8749,sambert-beth-v1,0076f08de390c66aa792f8e0fc90818c6512d0b8cd8a72e50a3bf24c9c8d642f
T006,audio/main_language/tts/T006.wav,en,TTS,math,SVAMP,chal-29,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,A store has 49 bottles of regular soda and 40 bottles of diet soda. How many bottles altogether?,88,91,89,90,C,89,6.2249,sambert-brian-v1,e0d8586a287f350ddb48a2eeba3aacd17756ec1922f9496cebb38e0803236373
T007,audio/main_language/tts/T007.wav,en,TTS,math,SVAMP,chal-34,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,Edward had 78 dollars and spent 15 dollars. How much money remains?,65,63,64,62,B,63,4.9374,sambert-beth-v1,c0935f81f2246b6adc7c6332d457e59f252af70e3c43b05e7bc7ca0c8289a218
T008,audio/main_language/tts/T008.wav,en,TTS,math,SVAMP,chal-88,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,A shirt shop earned 51 dollars by selling 3 shirts. How much did it earn per shirt?,18,16,19,17,D,17,5.4499,sambert-brian-v1,d3732b80232cd5143a609fb1ee7c50e6a72c4dd1278cf36522f858d92525c0e6
T009,audio/main_language/tts/T009.wav,en,TTS,math,SVAMP,chal-69,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,Matthew gives 2 crackers to each of 11 friends. How many crackers does he give away?,21,24,22,23,C,22,5.0999,sambert-beth-v1,4064fd64045dcdf5d52cb82dc5da08da10886efd2a4076ad749636708ffc538d
T010,audio/main_language/tts/T010.wav,en,TTS,math,SVAMP,chal-73,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,Jack received 3 emails in the morning and 5 in the afternoon. How many emails did he receive?,10,8,9,7,B,8,6.0749,sambert-brian-v1,eafe0223d766981b6f6bd334a6a3eda5b5261f0368c3e3bd5c0938be76796c21
T011,audio/main_language/tts/T011.wav,en,TTS,math,SVAMP,chal-104,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,Faye puts 11 pencils in each of 14 rows. How many pencils are there?,154,155,153,156,A,154,5.0124,sambert-beth-v1,69c6a39126b5749c35ff7cdb3b2e3c1721d88e21d3caec5e83c7f783eb0aaba5
T012,audio/main_language/tts/T012.wav,en,TTS,math,SVAMP,chal-117,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,Each pot holds 40 flowers. There are 400 flowers in total. How many pots are there?,9,12,10,11,C,10,5.9499,sambert-brian-v1,33a3809c746179e65afd56b34415fa7be64f153d1b12469de5ac131a61561c67
T013,audio/main_language/tts/T013.wav,en,TTS,math,SVAMP,chal-142,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,"A book has chapters of 66, 35, and 24 pages. How many pages does it have?",127,125,126,124,B,125,7.2124,sambert-beth-v1,f6d0ec6c349bcc41e49fc6bba65e6e190651cb7445dd3882c1c4e32971e544b2
T014,audio/main_language/tts/T014.wav,en,TTS,math,SVAMP,chal-167,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,"Carol buys 6 packs of 14 invitations, then 11 extra invitations. How many invitations does she have?",95,96,94,97,A,95,7.0624,sambert-brian-v1,c0e13f3bc21bd0811d4f31d65e7ac3aeae2137e10d35ed21d825a71cc8a9ff8f
T015,audio/main_language/tts/T015.wav,en,TTS,math,SVAMP,chal-193,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,"Four sets of tables each have 3 chairs. If 14 people attend, how many more chairs are needed?",3,1,4,2,D,2,6.4499,sambert-beth-v1,cd7116cb6b7835efa35f79dd54e736a7bc696f92ac34d8b54cbe7cfb76a80fed
T016,audio/main_language/tts/T016.wav,zh,TTS,math,SVAMP,chal-3,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,帕科原来有26块咸味饼干，吃掉9块后，还剩多少块？,19,17,18,16,B,17,4.850,sambert-zhiye-v1,4e0b755e2ee405cb0a6f93525339c1825e3e6095042ec96d48f213276eb5d2c5
T017,audio/main_language/tts/T017.wav,zh,TTS,math,SVAMP,chal-10,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,有9名顾客离开商店，店里还剩12名顾客。原来有多少名顾客？,21,22,20,23,A,21,5.625,sambert-zhistella-v1,392d81302daac802fdad73665c0261427ca2ca5a5c00d336fe2a51d7afabf159
T018,audio/main_language/tts/T018.wav,zh,TTS,math,SVAMP,chal-19,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,丹尼现在有57张包装纸，其中30张是新捡到的。他原来有多少张？,28,26,29,27,D,27,6.387,sambert-zhiye-v1,70dda4c190455c5dd74dd08fcb228657c4f26158ea77f4c780a3323ddf289698
T019,audio/main_language/tts/T019.wav,zh,TTS,math,SVAMP,chal-32,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,花瓶里的玫瑰从15朵增加到17朵。新放进了多少朵？,1,4,2,3,C,2,4.762,sambert-zhistella-v1,89bb7ea20dbb4cd2b799c6f0bc19456247b135d36432163d51c2c046b61219b3
T020,audio/main_language/tts/T020.wav,zh,TTS,math,SVAMP,chal-41,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,做蛋糕需要12杯面粉，现在还差2杯。已经加入了多少杯？,10,11,9,12,A,10,5.200,sambert-zhiye-v1,81f7ce9a094c0cfebf5b83a92130c9445e5556da29933f566e2aa15e2abf2d37
T021,audio/main_language/tts/T021.wav,zh,TTS,math,SVAMP,chal-52,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,一套书共有14本，其中8本已经读完。还有多少本没读？,7,5,8,6,D,6,5.050,sambert-zhistella-v1,33c2add8609ba3337203e9a11300fa3d11b02435cca734526bf8bb0f10756486
T022,audio/main_language/tts/T022.wav,zh,TTS,math,SVAMP,chal-54,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,把22颗糖装袋，每袋装11颗，可以装满几袋？,1,4,2,3,C,2,4.138,sambert-zhiye-v1,3d2202b857aaaa349bb9be4d5bdf312add005f665b2eff2104e36e7b077b1e4b
T023,audio/main_language/tts/T023.wav,zh,TTS,math,SVAMP,chal-68,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,一共做了15个鸡蛋，平均分成3组，每组几个？,7,5,6,4,B,5,3.875,sambert-zhistella-v1,e13fcd6f4f72923c3c565e76bb21f98fb64cff633c9fb4c2d9ca8471cb8ba3dc
T024,audio/main_language/tts/T024.wav,zh,TTS,math,SVAMP,chal-243,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,兰迪用52块积木搭塔，还剩38块。他原来有多少块积木？,91,89,92,90,D,90,5.762,sambert-zhiye-v1,066e6d5231a48ff9f1abe8686683f050c4f2e36540f95dc1d655a87891f5b110
T025,audio/main_language/tts/T025.wav,zh,TTS,math,SVAMP,chal-85,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,艾米丽做4条项链，每条用5颗珠子，一共需要多少颗珠子？,19,22,20,21,C,20,4.600,sambert-zhistella-v1,ba431be0add4694aae466a2049229830a4f51ce3685bb64bde1263d193d3a6bc
T026,audio/main_language/tts/T026.wav,zh,TTS,math,SVAMP,chal-99,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,一本书有112页，弗兰克16天读完，平均每天读多少页？,9,7,8,6,B,7,5.213,sambert-zhiye-v1,a8a0413e4a77d0ffa3dc5cf2657ec629a3093790285122a7be950ffe67376b8c
T027,audio/main_language/tts/T027.wav,zh,TTS,math,SVAMP,chal-109,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,艾伦带了2个气球到公园，又买了3个。杰克带了4个。艾伦比杰克多几个气球？,1,2,0,3,A,1,6.987,sambert-zhistella-v1,80b65f0fd3da58524a038d918a5d472fee1321d3106109bce0ea7be08e1ad444
T028,audio/main_language/tts/T028.wav,zh,TTS,math,SVAMP,chal-127,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,妈妈买了14包白色T恤，一共70件。每包有几件？,4,7,5,6,C,5,5.012,sambert-zhiye-v1,14715c06de360c7e1405ebd41b1bf9f92b807518f4d63e124a189f8956bcb557
T029,audio/main_language/tts/T029.wav,zh,TTS,math,SVAMP,chal-144,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,每个花坛播种10粒，一共播种60粒。共有几个花坛？,8,6,7,5,B,6,4.512,sambert-zhistella-v1,775b3446b2f7166359c1a438cc0db5e8ffd61f93d4cdb6d9dbb7e2cdabf1330c
T030,audio/main_language/tts/T030.wav,zh,TTS,math,SVAMP,chal-236,https://raw.githubusercontent.com/arkilpatel/SVAMP/main/SVAMP.json,保罗收到一盒253支蜡笔，后来丢失或送人70支。还剩多少支？,183,184,182,185,A,183,6.087,sambert-zhiye-v1,c4f29578c7d5bd8c43527f123782fbdb9468e30e7dff01c01a75254829b2890d
